Placard,Description
2,"crumple walls damaged, structure shifted from foundations"
1,chimney separated from building
2,house racked - it has been braced from side
1,chimney collapsed onto roof
0,Inspected
1,chimney at roofline missing bricks - do not use fireplace
0,Wall corner stucco spalling/crack near garage side door. Inspected
1,chimney cracked at roofline - do not use fireplace - use caution exterior of fireplace
0,all brick removed from interior of fireplace
1,fireplace sfhited with flue deflected - OK to occ
0,(Bel Aire Plaza) damage limited to roofing and contents
1,Damaged chimney- moderate damage
0,structure good
0,Minor cracks on drywall & minor cracks on stucco wall & around chimney
0,Property owner expressed concern about garage slab movement-a brief assessment discover no damage
0,Engineer to assess cracks in chimney & foundation
0,No visible structural damage to exterior fireplace
1,Damaged chimney- moderate damage
1,Damaged chimney- moderate damage
0,"interior plaster cracking; exterior stairs in back, slight separation from structure along side"
1,Chimney down
1,Porch column detached at entry
0,Structure good
1,"chimney top fell on roof, cracks in plaster inside walls"
2,Foundation
1,"chimney fell, debris in driveWy"
2,Foundation
2,building shifted off foundation
2,Foundation
1,"Siding has come off, possible frame impact. Foundation attachment looks okay."
2,"unsafe pipe, structure"
1,"top (2) courses of chimney brick have broken and moved, avoid side yard by chimney - inspect chimney"
1,"chimney fell, no falling hazard - do not use fireplace"
0,Structure good
0,exterior of dwelling deemed safe to occupy
1,top of brick chimney down
1,top of brick chimney down
1,top of brick chimney down
1,top of brick chimney down
1,Chimney fell down
1,chimney down
0,"Cracks @ interior,plaster observed, recommend to inspect fndn & sinplate to foundation connection @ crawl space"
0,Exterior front only inspected
0,"Minor cracks, broken window, in bake needs to be fixed"
0,No Comments
0,Minor cracks only
0,Exterior stucco cracking
1,Lee Building; Torc
0,No comments
1,Chimney fall onto roof. Broke through adjacent car port roof
1,Chimney Down
0,Minor cracks in fireplace and fndn-front door brick steps sperated from main garage door
0,Visible damage from front only. No interior or back yard
1,chimney
1,chimney
0,Superfical cracking in sheet rock and stucco
1,chimney
1,chimney
1,chimney
1,sheetrock ceiling fell
0,Earlier roof damage repaired ( hole in roof from tree branch
1,Cracks on roof diaphram above garage door & sidings are purged out. SE corner of garage
0,"Crack in bldg, crack in ext. stucco@ corner of F.P. no apparent cracks in masonary"
1,falling hazard/keep children aWy
0,Minor cracks on brick walls & siding
0,Minor cracks @ plaster BTW chimney & structure connect
0,No comments
0,Brick façade cracked but structure ok
0,No comments
0,No comments
0,Recommend structural oval at roof beam in garage  connection to wall
1,do not occupy or utilize areas adjacent to damaged/protuding plaster/stucco
0,Recommend to brace chimney to roof diaphram
1,chimney separated from roof and bed join separation
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,"hairline cracks visible-appear to be pre-existing, met with business owner, he indicated no interior damage-no further action required"
0,green - no placard posted
0,No comments
1,Previously placed Yellow tag. OK to occupy engineering report completed permit required to repair
1,chimney dislodged & fell
1,front side damage over garage
1,"severe racking, walls are not plumb - no overnight occupancy"
1,damaged chimney is back portion of bldg
1,"Bldg foundation framing is ""racked"" at both front corners"
2,foundation leaning at stem wall
1,Further inspection warranted. Upstairs unit chimney collapsed & repairs made w/o benefit of permit. Further inspection permit needed
1,Building movement expects portion of foundation & off foundation
0,"Uneven floors, in kitchen & hall. Pier & post fndn-a few posts shifted slightly, minor post shift under beam has caused uneven floors"
1,Column @ front porch is racked
2,Unsafe building - severe damage
2,Unsafe building - severe damage
2,Unsafe building - severe damage
2,Unsafe building - severe damage (one building on two properties)
2,Unsafe building - severe damage (one building on two properties)
1,do not occupy or utilize interior/exterior areas adjacent to fireplace
0,"damaged retaining wall, A/C unit broken"
2,East side unsafe (Old Cthouse)
0,Inspected & deemed safe. Left GREEN
0,Exterior observation only-owner not present
0,"Sperficial cracking,nook, bedroomes 1st floor, bathroom 2nd floor. Inspected"
0,no restriction - cracking of interior gyp vd
1,"clay tile roofing separated & pulled away, superficila stucco cracking"
0,No damage
2,part of bldg shift off fndt; anchor bolts sill to fndn not found; supporting joists leaning
0,no visible damage or hazards from front yard
0,Minor cracks on drywall. Recommend clsoe monitor of cracks that are relatively wider
1,Chimney falling hazard
0,structure good
1,Chimney down
0,"Loose brick on flu, corner of face of chimney, brick are planted on main chimney, can be removed & re-installed. Approx. 4 masonry"
1,do not use fireplace
1,chimney collapse
1,do not utilize garage or right front corner of roof at entryway - bldg leaning
1,Chimney down
0,"Green tag, minor cracking"
1,"one brick has displaced above roof line, unable to determine if damage is significant or not."
0,No comments
0,Recommend further inspection and repair of cracking ceiling and wall
1,Front porch collapsed Already been repaired. Need permit
1,fireplace chimney has fallen - keep area clear of people
1,Chimney down
1,east side of bldg façade
2,Adjacent to unsafe building (Wells Fargo Mrtg/Alexandria Sq)
0,minimal collapse and leaning
0,structure good
0,structure good
0,structure good
0,structure good
0,suggest owner have foundation evaluated - small crack in side foundation - no entry to basement
0,suggest owner have foundation evaluated - small crack in side foundation - no entry to basement
0,"Int. surface cracking in GYPDP & plaster, fndn. Has bee retrofitted & previous stone fndn encapulated in concrete (18-24""wide) sills bolted down"
0,(Cartons and Crates)
0,structure good
0,(Mechanics Bank) Ste B & C vacant
0,structure good
0,no damage
0,Back porch not inspected within fence area
1,need to repair cripple wall
1,"non structural damage to walls/plaster, replace broken windows"
0,Ext. of bldg has been inspected and has been deemed safe to occupy
1,ok to occupy - do not walk on the side of house where both chimneys located/do not use fireplace until permits pulled and inspected
0,(Bel Aire Plaza) damage limited to roofing and contents
0,"nobody home, left green tag"
0,No comments
0,No comments
0,structure good
0,structure good
0,Slight porch offset
0,No comments
1,Cracking
0,City-owned property
0,City-owned property
0,No apparent cracking @ chimney/minor crack @ chimney/firebox @ wall
1,chimney crack
1,"chimney broken at roof line, avoid side yard until hazard is mitigated"
1,"chimney broken at roof line, please avoid side yard until hazard is mitigated"
1,"chimney cracked at roof line, avoid side yard until hazard is mitigated"
1,"chimney broken at roofline, avoid yard area adjacent to chimney until hazard is mitigated"
1,"chimney broken at roofline, avoid area under fireplace until hazard is mitigated"
1,Cracked chimney
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,use caution at carport [can't read notes]
0,Roof end panel channel filtered
1,use caution at carport [can't read notes]
1,Chimney down
0,Cosmetic plaster cracks in back wall
0,chimney cracks - no loose brikes - no leaning
1,chimney collapsed
0,Could only view from street
1,front steps - no placard placed
0,structure good
0,structure good
0,structure good
1,already posted
1,"chimney separation, collapse at roofline - remove to smoke box and repair"
1,chimney separated & collapsed at roofline - remove downt to smoke box & repair
1,chimney down - avoid area
1,chimney in danger of falling - restricted access in area of chimney - interior floor has uplifted
0,No comments
1,fireplace damage above roof removed
1,chimney down at roofline - stay clear of falling brick - do not use fireplace
1,chimeny down at roofline - stay clear of falling brick - do not use fireplace
1,chimney down at roofline - stay clear of falling brick - do not use fireplace
0,No comments
0,No comments
1,"do not use masonry fireplace, inspect fireplace, repair damaged exterior masonry, replace damaged sheetrook near interior stairway"
0,Structure good
1,cracked chimney
1,chimney failure - stay clear until damage is removed
0,No visible structural damage to exterior
1,"Interior garage post has twisted, cracked interior GYPD & exterior brick veneer. Post should be strenthened, secured and connected to post fndn"
0,No comments
0,No comments
0,No comments
0,"Green tag, no comments"
0,No comments
0,No tag posted
1,chimney badly cracked - stay away from chimney in back yard
0,No comments
0,Minor stucco cracks @ front residential . No usage structural damage
1,no restrict - wall to be evaluated before repair
1,"chimney is pulling aWy from wall with 1/2"" gap, cracks and cracks through throughout chimney"
1,damaged brick above roof line
1,masonry chimney cracked - needs repair - occ permitted - caution around chimney
1,Several loose brick
0,Not home
0,structure good
0,structure good
0,structure good
0,structure good
0,"crack in foundation, crack in plaster"
2,"foundation damage, repairs but not built to code"
1,Cracks in Fndn on S-side and surrounding walls. Lateral shift of structure. No restriciton of use
1,"Foundation unreinforced, blocks/bricks leaning garage only-through going cracks"
0,"No damage observed, inspected @ owner request"
0,"Green tag, minor cracking"
1,Bounty Hunter
1,"Windows cracked, partially sprinkled bldg, supterm good"
1,loose glass window panels
1,Ready for reinspection to open
0,(Starbucks)
0,(Vermeil Wine Lounge)
2,(Don Pericos)
1,terra cotta fractured
0,(Kohl's)
1,"(Napa County Building) sprinkler system leakage, damage to three floors"
0,(Naked Wines)
2,rear masonry sheering/interior wall tilted
2,(Napa Cigars)
1,Playful Gardner
1,Chimney broke at roof line
1,Chimney on ground
1,Crack in chimney on interior of house. No restrictions
0,No apparent issuses
1,restricted use around rear firepalce due to falling brick hazard
0,"Green tag, no comments"
0,No comments
0,Recommend to inspect foundation & sill plate to foundation connection @ crawl space
0,Cracks @ ceiling plaster observed recommend to fix noticable structural damages not observed
0,Recommend to check sill plate to foundation anchorage @ crawl space
1,chimney damaged and separated from home/avoid front yard adjacent to chimney
0,Fndn. Cone spallin @ corner
0,"No apparent damage or hazard, no access to backyard"
0,No visible damage. NORTH wall fireplace chimy. Colapsed was YELLO tagged & has been repaired per occupant. No visible hazard
1,chimney shifted - front northside area stay aWy 10' from house
1,Building or story leaning
2,SFR foundation
1,fallen chimney
1,cracked chimney
1,aboid area around chimney - do not use fireplace
1,chimney shifted
1,chimney collapsed
1,chimney shifted
0,Top of chimney already removed
1,chimney
1,Chimney Down
0,No comments
0,No comments GREEN TAG
1,Cracked and offset chimney
0,No comments
0,owner not home but says no interior damage - cracks at garage door minor at living room
0,Minor crack observed from exterior
0,Minor crack observed from exterior
1,ok to occupy building/owner to have engineer assess cracks at exterior and interior of all openings
1,Owner complaint about electrical shorts
0,"Cracks @ interior , plaster. Recommend continue monitoring"
1,crack foundation and stairs/chimney and foundation some stairs replacement - engineer review required
1,Gas stove Shaken loose from wall
1,fireplace possible crack at missing mortar
1,chimney damage-taped off area
1,chimney on roof already repaired/removed.   firebox in basement failed/water heater vent must be removed/gas shut off at meter
0,structure good
0,did interior (previous exterior only) - firebox jumped existing fireplace
1,Cripple walls racked
0,minor chimney crack
2,Unsafe building (Register Building/Sushi Mambo)
1,Cracked chimney - minor damage
0,Cracks apperar minor
1,"cracks at firebox of masonry chimney, water heater strap broke, superficial floor tile cracking - do not use fireplace until repaired, retatach strap"
0,"Deck has damage, hangings. Minor damage to deck in back yard"
1,Chimney collapse of brick top stack on roof top
1,Chimney collapse into backyard
0,Structure good
0,"No cracking seen interior, only interior family wall and door crackes tagged green. Owner called, said she will be home tomorrow"
1,"Wood column-get reevaluated,crack in beam over wooden column in rear yd. Evaluate by Engineer. Don't use that area"
1,"Chimney, moderate cracks at base of fireplace"
0,No comments
0,minor damage
0,minor damage
0,minor damage
0,minor damage
0,"Only unit #5 was evaluated minor int. cracks, no apparent hazard-Green Tag- 8 apt. bldg."
1,"collapsed chimney in back, garage door wall/front porch broken"
0,Not home- no apparent exterior damage
0,Not home-no damage
0,"Already green tagged,called owner and he doesn't want his unit inspected anymore same tagged retained"
1,damaged steps at front
0,no issues
0,no issues
1,chimney
1,chimney
1,chimney
1,"Fallen chimney, no restrictions"
1,"Cracked chimney, south exterior wall is bowed in below floor level. Avoid chimney area"
1,Damaged Chimney
1,chimney collapse above roofline - OK to occ - long term need engr eval
1,"Damaged Chimney, being demolished by owner"
1,sagging front porch
1,"plaster at first floor cracked, contractor to replace plaster on first floor"
1,"interor plaster damage and suport posts by 1"" - avoid rooms affected by plater damage and 1st flr NW room & basement entry"
2,damage at 1202 Main causing threat to safety at this address (green to red)
2,re-tag per Dan K. - Merrell's Bldg
2,severe damage
2,re-tag per Dan K. - Merrell's Bldg
1,falling plaster on ceiling
2,re-tag per Dan K. - Merrell's Bldg
0,Minor cosmetic damage to interior walls and ceiling (Red Wine City Nail and Salon)
2,re-tag per Dan K. - Merrell's Bldg
2,re-tag per Dan K. - Merrell's Bldg
1,chimney
1,"do not enter/use carport (226 & 228) - do not use fireplaces until repaired (222, 224, 226, 228)"
1,"do not enter/use carport (226 & 228) - do not use fireplaces until repaired (222, 224, 226, 228)"
1,"do not enter/use carport (226 & 228) - do not use fireplaces until repaired (222, 224, 226, 228)"
1,"do not enter/use carport (226 & 228) - do not use fireplaces until repaired (222, 224, 226, 228)"
1,slab floor cracked
1,Cracked chimney - minor damage
1,Damaged chimney- moderate damage
0,"no apparent damage on home exterior, no restrictions/home appears safe and secure"
0,"minor cracks in garage door casing, damage is cosmetic only, no further action recommended"
1,"single tile displaced at chimney, falling hazard but easy repair/homeowner not home, inspected front perimneter only"
0,no posting - property owner structural engr
0,"Brick surrounding front post fell down. Appears post shifted 1/4"" at top. Inspected"
1,chimney cracked - don't park under chimney area
1,chimney seprated from bldg/leadning in
1,chimney fell onto roof
1,Chimney is damaged restricted area around chimney . OK to occupy
1,Restricted area around chimney
1,chimney separating at house - mortar cracked at roofline - remove downt o smoke box - repair
1,damage to chimney on interior & exterior - stack removed to roofline - OK to occupy
1,Chimney cracked @ roof line fallen roof. Owner removed debris to roofline. Do not use or occupy area near chimney until repaired
0,minor cracking in plaster & drywall; subsidence of conc walk - 3 floating posts
1,damage to chimney - stack removed to below roof line - OK to occupy
1,chimney collapse at/above roofline - OK to occupy
1,total collapse of brick chimney above roof line - do not use fireplace
2,"leaning, racking - PG&E drop must be disconnected from tension"
1,Rear service porch structual damage
0,No comments
0,GYP brd cracking ext. crack/Gap @L side entry minor crack ext flue chase to wall
0,minor exterior cracks to stucco
0,GREEN TAG no comments
0,No comments
2,Structural
1,retaining walls at patio with pool area avoid
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,masonry chimney - minor cracks observed on exterior & interior
1,Front porch support damaged
1,"Chimney separation from house 2"""
0,structure good
0,Changed existing RED to GREEN
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,stay clear of falling hazards/do not use fireplace
1,stay clear of falling hazards/do not use fireplace
1,chimney cracked and shifted/stay clear of falling hazards/do not use fireplace
1,Chiney cracked at base
1,do not use fireplace
0,structure good
0,structure good
0,No comments
1,"2 car carport 20'X20', extensive water damage/dry rot at roof framing.  Do not enter, obtain permit to demo/repair, aftershock may cause collapse"
1,"rear of house shifted on foundation 3"" - base walls rocked - structural engineer to review damage"
0,cracks in gyp bd joint lines
1,chimney cracked
1,Chimney
1,chimney
1,"chimney, cracks in corner of foundation"
1,brick fnd damage at rear - front chimney pulled away from bldg - tape off chiney areas (2 chimneys)
0,"cracks in foundation, porch area vent, and corner of house - no one home"
0,Interior inspection requested-owner not home-ext. was previously inspected on 9/15. Interior inspection still needed
1,chimney (house in back)
1,chimney damaged - section showing displacement
1,"chimney damaged, dislodged bricks, brick facia damage front of garage"
0,"Green tag, no comments"
1,chimney compromised
0,no issues
0,Noted plumbing & upstairs windows not working after EQ
0,Brick veneer may not be wall anchored in front. Recommend further investigation
0,no issues
0,No comments
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,No comments
1,Chimney damage
0,"Prior yellow tag-chimney stack taken donwn, falling hazard removed. Contractor to repair"
1,"Patio roof curently detached and unbraced, moves when pushed.Patio structure access restricted during high wind or ground motion"
1,"chimney cracked and leaning - needs repair ASAP - crack in ceiling in hall, water valve leaking in shower - repair chimney asap"
0,No comments
0,No comments
0,water heater & associated piping changed
0,structure good
0,structure good
0,structure good
0,parish hall
0,structure good
1,foundation has cracks
1,corner siding separated; stairs separating from house
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,"Chimney front-dissassembled; from rear chinmey appears to have cracking. Chimney has been removed in front, rubble please inspect"
1,"Chimeny fallen, some repair without permit"
1,restict access to area around chimney
0,Owner home-checked chimney-minor structural crack will need tie to woodframe
0,No comments (NAPA GARDENS)
0,No comments (NAPA GARDENS)
0,No comments (NAPA GARDENS)
0,No visible damage - not home GREEN TAG
1,CMU bldg wall  & the bld. Wall are ajoind. CMU barrier wall has been red tagged. OK to occupy
0,No visible damage - not home GREEN TAG
0,Minor ext. cracks-no structual damage GREEN TAG
0,No comments
0,"No apparent cracks @ masonry chimney, very minor cracks @ brick façade/firebox"
0,No comments
1,"chimney collapse above roofline, interior fireplace chimney, loose bricks have been removed - homeowner not home, inspected exterior only"
0,all fireplace removed & filled in
1,"Chimney fall hazard. Stay away from chimney area, inside & out"
0,Exterior only
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,dhimney above roofline fallen - do not use fireplace - stay aWy from falling hazard
2,partial bldg collapse (attached structure)
1,chimney removed to roof line
1,chimney damed and taken down to roofline - OK to occ residence
1,chimney on ground - owner to infill with framing - OK to occ home
1,chimney veneer cracked - remove veneer for review - res OK to occ
1,chimney leaning and cracked at roof line - tear down to roof line - res OK to occ
1,"chimney taken down to roofline - damage to eave, fascia - OK to occ"
0,OK for occupancy minor drywall & sutcco cracks
0,No comments
1,"structural damage apparent, inspection refused - 9/9/14 deadline to provide struc engr report or will be red tagged"
1,"structural damage apparent, inspection refused - 9/9/14 deadline to provide struc engr report or will be red tagged"
2,"[ATC states 500-518; no 518 in records] front wall leaning, anchor bolts leaning, rear deck stairs leaning - construction entry through front"
0,No comments
0,Minor interior & exterior cracks
0,No comments
0,"Minor cracking, not structural damage"
0,No comments
0,No comments
1,"Minor fdn cracks advise to hire GC to repair. Partially collapsed chimney unsretricted, contact city for permit to inspect & demolish remaing chimney"
2,property line fire separation wall detached from wood frame 2-story
1,Structural cracks above windows and doors.
1,"Porch slab lateral displacement of 1.25"" near front door"
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
0,"Owner doesn't want inspection, she said there was only one electric problem & it has been fixed & inspected"
1,chimney
1,"chimney is damaged but still standing, can fall down"
0,"Owner says everything is fine , we talked,no noticable cracks observed"
1,chimney severely cracked
1,chimney damage
0,No comments
0,No comments
0,No comments
1,Do not use fireplace. Ok to ccupy during repairs
1,7 foot CMU property line fence - severe damage
1,7 foot CMU property line fence - severe damage
1,Use condition around chimney
0,"Reported pipe on flr under carpet could not confirm w/o destruction, could not confim concern of occupants tagged 10/1/2014 . Posted 10/1 -9 am"
0,No comments
0,No comments
1,Cracked chimney
0,No comments
0,No comments
0,"Recommend to inspect chimney for cracks, monitor foundation cracks @ exterior"
0,Loose brick @ top & cracked chimney  cap
2,House fire
1,be aware of the danger from the falling bricks from 1582 laurel chimney
1,chimney
1,chimney
1,chimney
1,carport support columns are racked
1,chimney
1,"damaged front porch, chimney"
1,cracks in foundation
1,"Chimney partial collapse, lots of flat work cracking , foundation looks good. Stay away chimney until repaired . Don't use chimney"
1,foundating bulding at side yard - cracks at mudsill all around - OK to occupy
1,roof at living room damaged-further inspection required/joist in hallway damaged
1,chimney failure - stay clear until damage is removed
1,"crack in chimney, should be inspected"
0,"Recommend structrual evaluation , chimney crack and movement/cracks in wall & garage minor"
1,Chimey cracked at roof line
1,front right corner of struc is damaged - visible twisting of ext side wall
1,garden wall very wobbly - avoid area around chimney at garden wall
1,stay clear of chimney area
1,stay clear of chimney area
1,stay clear of chimney area
1,Item retrieval only in front room. Follow up w/engineer. Inspect handicap lift @ front entrance
0,slight crack on exterior column
0,No issues
1,"rear garage listing, restricted access-  rubble foundation - OK to occupy interior"
1,Chimney Down
0,"Chimney appears to have been removed previously, no sign of debris on site"
2,building shifted on foundations
2,building shifted on foundations
1,Front of house under chimney and rooms below
2,CE hired by homowner ot evaluate home; leaning on boudnation
1,Garage and front of building racked
2,"leaning, racking"
1,Severe Cracking/ previous rased house
1,"Racking damage to walls, other structural damage"
0,No comments
0,No comments (NAPA GARDENS)
2,"severe damage to structure, roof shingles falling, front porch unsafe"
1,"structural damage apparent, inspection refused - 9/9/14 deadline to provide struc engr report or will be red tagged"
1,connection of front post to beam appears damaged - cracks & spalling of stucco cover - avoid 2nd floor overhand in front
0,"Soft spot on floor appears related to H2O damage and dry rot, non- EQ related"
0,"1201-1213 dwellings minor exterior stucco creeks, building deemed safe to occupy. Exterior of dwelling has been inspected and deemed safe to occupy"
0,Minor cracking in exterior cement plaster
1,do not use fireplace until chimney is repaired
0,no restricitions
1,Chimney top fell off onto yard
1,2 chimneys
1,chimney damage/stay clear until made safe-permit required
0,GREEN TAG cracked stucco & GYP board joints
1,chimeny damage at roofline/stay clear of chimney
1,Chimney collapse has been removed
1,Chimney collapse has been removed
0,"chimney damaged, structure good"
1,Shear wall & diaphragm cracking
1,Shear wall & diaphragm cracking
2,front awning cracked and sagging; racking
1,stay clear of garage area (displacement) between house and garage - eng to review foundation crack
1,"Chimney fallen, no further falling hazard"
1,[no ATC - PO brought copy of tag] do not enter master bath closet - brief entry allowed for access to contents in side yard
1,Chimney rack at roof line
1,"chimney collapsed, cracks in ceiling, driveWy, walkWy"
0,No issues
1,Vetrical cracking - 1 corner of CMU foundation
0,Exterior only-stucco cracks
0,"Drive-by inspection only-Lg. apt. complex. No card issued. Misc. on-going, maintenance repair work. No card or visual  EQ damage"
0,No issues
1,"west side wall, stucco detached from grade to approximately 24 inches above grade"
0,No comments
0,structure good
1,entry porch collapsed with post failure
0,Minor cracking in drywall
1,chimney fell over - occupancy ok
1,chimney leaning - stay away from back porch
0,locked up - out of business - no damage evident from front
0,receptions says there was no damage - no damage evident from outside - dental office
1,Tilted chimney at the roof line. One brick fell on the inside
0,(Big 5) good
0,(Big 5) good
0,(Big 5) good
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
1,avoid chimney area
0,GREEN TAG no comments
0,Home was already TREEN tagged on 10/7/14. already GREEN tagged by other inspectors
0,Vert. crack in garage wall. Crack made worse by EQ
1,"Restriction around chimney, crumbled chimney"
0,chimney collapsed - contractor already removed debris
2,structural; collapse
1,racking of house to the south; sills not bolted down; some doors racked; interior cracking; eval by struc eng needed
1,Fndn on rear South wall cracked @ 2 locations in laundry area. Limited use of laundry room
0,green - no placard posted
0,green - no placard posted
1,"walls have shifted, doesn't appear to have any attachment of sill pl to fndn - SE eval"
0,No comments
1,chimney
1,loose grout at  chimney across one joint - do not use fireplace/front porch seems to be off support - get permit for repair work
0,Unable to see significant chimney damaage from front. Did not enter backyard
1,chimney crack - do not use fireplace - get permit for repair work
1,Chimney damage
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,Minor stem wall cracks & minor interior sheet rock cracks @ door & window header/jams (Northside of house)
1,Bldg. wall adjacent to parking lot leaning out
1,top of chimney broken - avoid area of side yard near chimney until hazard is mitigated
0,Broken front window minor cracks @ finishes crack in front porch landing  steps
0,plaster cracked on west wall
1,Chimney fell on roof and on ground
1,No sprinkler system functioning due to broken lines in McCaulou's
0,No tag posted. Rocks fell out of steep bank or creek near drainage pipe. Tree above may be undermined/unstable (tree may need to come down)
0,Minor drywall cracking
0,No comments
2,collapse iminent
1,fireplace shall not be used until firebox & flue inspected for integrity
0,Superfical cracking-not structorial issuses in living room
0,No obvious EQ damage
0,"""Not Home"" GREEN tag- did all interior & exterior assessment-no visible structural damage"
1,Chimney cracked at mid-height
1,Chimney collapsed onto vehicle
0,Chimney fell onto parked car with damage to car and garage door
1,Chimney damage with potential to fall onto driveWy.
1,Chimney collapsed onto vehicle
1,Chimney cracked and separated from structure at roofline.
1,"Safe to occupy, but structural eng. Inspection necessary to invetigate mitigation for connection b/w structure & fndn"
1,do not use fireplace until chimney is repaired
1,remove patio cover - stucco cracks at garage - remove section of fence at front of house - do not use patio area
0,Inspected front exterior only
0,"Green tag, minor exterior stucco cracks"
0,No apparent damage
0,Chimney already removed & capped. Call PGE re: gas smell
1,Owner said wood burning stove moved 3' so it should be investigated for safe use. No apparent damage. Do not use wood burning stove
0,No apparent damage
1,(CTS Strength and Conditioning) Portions of roof ledger is split
1,Purlin hangers broken and edges cracked
0,Post @ unit 24 cracked @top  strap connection to beam (Dance Studio)
1,"Racking damage to walls, other  structural damage - moderate"
0,required fire watch until sprinkler system restored
0,required fire watch until sprinkler system restored (Webster Window & Door)
0,structure good
1,chimney above roof cracked at roof line - fire place shall not be used until repair - barrivade east sideyard
0,No Damage
0,Cracking vinyl in master bath
1,"garage walls and foundation backing, occupancy based on exterior inspection from front only/garage damage extensive-do not enter garage"
0,chimney
1,front porch off main house
1,stucco cracking
1,"No use of garage & dining rm, except to redrive things. (could not get access to backyard, owner describes wooddeck has disorders. No access use"
0,Inspected
1,structure stabilize temporary - ok to remove items and enter to do repairs - not to open for business
1,post at porch and scond story addition compromised - temp fix in place - post al front porch all shifted
0,No damage found
0,structure good
0,(Gold & Silver)
0,(Farmers Insurance) Drywall Crack
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,failure of roof beam to wall connections
0,structure good
1,Water heater disconnected - water and gas removed
0,"building in general disrepair, older apartment complex, property address is 800, dwelling units are 802, 804, 806, 808, landlord typically unresponsive"
0,"building in general disrepair, older apartment complex, property address is 800, dwelling units are 802, 804, 806, 808, landlord typically unresponsive"
1,Minor foundation damage s/w corner of building. Damaged column at front porch
1,chimney damage/stay clear until made safe-permit required
0,"building in general disrepair, older apartment complex, property address is 800, dwelling units are 802, 804, 806, 808, landlord typically unresponsive"
0,"building in general disrepair, older apartment complex, property address is 800, dwelling units are 802, 804, 806, 808, landlord typically unresponsive"
1,"Re-inspect - added Engineering review recommended - units 810, 812, 814, 816"
1,"Re-inspect - added Engineering review recommended - units 810, 812, 814, 816"
1,"Re-inspect - added Engineering review recommended - units 810, 812, 814, 816"
1,"Re-inspect - added Engineering review recommended - units 810, 812, 814, 816"
0,"no apparent exterior damage - homeowner not home, inspected exterior perimeter only, no apparent damage"
0,"no apprent exterior damage - homeowner not home, inspected exteriror perimeter only, no apparent damage"
0,structure good
2,falling debris from damaged parapet
1,Parapet has sustained moderate damage
1,chimney damage at roofline/stay clear of chimney
1,Chimney (2) collapsed ongo ground
1,chimney damage/stay clear until made safe-permit required
1,back porch landing cracked at struture wall.
1,porch detaching; owner starting repairs
2,SFR foundation
0,Some minor door racking confirmed on bldg. sheet rock joint cracks (no visible damage)
0,Minor sheetrock (First Christian)
0,[First Christian Church] green tagged already for cosmetic cracks - gas line fixed no updated
0,(Browns Valley Storage)
1,"2 chimneys minor crack damage, restriced use of chimneys & flue functionality verified & loose material secured"
1,2 chimneys minor crack damage-Further actions RESTRICTED USE OF CHIMNEY & FLUE FUNCTIONALITY VERIFIED & LOOSE MATERIAL SECURED
0,structure good
0,structure good
0,structure good
0,No comments
0,Interior GYP board cracking
1,Posts on footing are slightly off from base. Do not place heavy materials in closet prior to repair
1,Chimney has several loose bricks in center ADA ramp to home
0,No issues
0,No commentss(Napa Creek Terrace)
1,Need structural entineers report and repair as needed
0,inspect stairs on 2 of ~12 bldgs & int of unit 32 - no damage or hazards evident in comlex - prexisting maintenance issues
0,No comments
0,structure good
1,damage to building rock veneer and chimney
1,"Cracking @ bottom of chimney @ roof level. Minor cracking S kitchen wall Y tagged for 2ft. Crack on S end & 7"" on NE side. Loose brick @ SE corner"
1,"one car garage, front wall leaning, limited entry only, no occupancy, obtain permit to demo/repair"
1,chimney
1,chimney
1,cracked & falling interior plaster
0,No comments
2,"unbraced compression flange bowstring truss, unbraced masonry wall, severe cracks in masonry wall, compromised wall - not safe to occupy"
1,"partition wall damaged - restrict use around masonry wall between properties, SE should review all next to chimney in 1194"
